,City,Latitude,Longitude,Temp,Humidity,Clouds,Wind
498,palmares do sul,-30.26,-50.51,50.0,97,0,12.91
499,nichinan,31.65,131.31,82.99,78,20,6.93
500,canchungo,12.07,-16.03,73.4,88,40,4.7
501,tilichiki,60.47,166.1,50.73,75,99,6.58
502,saint george,39.45,22.34,60.8,93,75,3.22
503,atbasar,51.81,68.36,50.37,71,64,16.71
504,ponta delgada,37.73,-25.67,59.0,67,20,8.05
505,tadine,-21.55,167.88,76.29,74,100,5.32
506,nagayo,32.82,129.89,82.4,69,20,3.36
507,kintampo,8.05,-1.73,72.69,94,83,6.91
508,lekoni,-1.58,14.26,71.97,78,0,4.14
509,katobu,-4.94,122.53,84.75,70,30,4.99
510,isiro,2.77,27.62,66.21,98,100,1.59
511,eirunepe,-6.66,-69.87,72.33,96,99,1.48
512,jacmel,18.24,-72.54,81.0,94,32,9.17
513,sao gabriel da cachoeira,-0.13,-67.09,74.13,97,100,1.86
514,antalaha,-14.9,50.28,62.97,99,90,2.35
515,erdenet,49.03,104.04,56.13,43,100,7.36
516,mayo,63.59,-135.9,62.6,27,75,5.82
517,mnogovershinnyy,53.94,139.92,54.33,64,61,4.0
518,linares,-35.85,-71.6,55.59,94,100,6.71
519,srisailam,16.07,78.87,91.77,48,85,12.01
520,neiafu,-18.65,-173.98,78.8,83,40,5.82
521,matamoros,25.87,-97.51,82.4,88,90,11.41
522,laguna,27.52,-110.01,82.4,48,5,8.05
523,zadar,44.12,15.24,61.0,93,40,6.93
524,bammatyurt,43.34,46.61,71.07,66,100,4.54
525,chicama,-7.84,-79.15,64.4,88,40,10.29
526,tyukhtet,56.54,89.31,71.07,43,0,0.85
527,nalut,31.86,10.98,76.29,23,0,11.74
528,hawkesbury,45.61,-74.6,50.0,81,20,9.17
529,henties bay,-22.12,14.28,57.57,80,0,11.77
530,pavullo nel frignano,44.33,10.84,66.2,68,0,4.7
531,lagos,6.46,3.39,78.8,88,20,2.24
532,carupano,10.67,-63.26,78.09,80,99,4.14
533,pakxan,18.39,103.66,82.23,82,100,2.46
534,roma,41.89,12.48,63.0,100,13,2.24
535,juegang,32.31,121.18,96.01,46,100,12.06
536,iwaki,37.05,140.89,90.0,73,75,8.05
537,alyangula,-13.85,136.42,69.8,56,100,12.75
538,zverinogolovskoye,54.46,64.85,46.23,81,100,19.71
539,oussouye,12.49,-16.54,73.4,88,40,4.7
540,vezirkopru,41.14,35.45,66.2,72,75,6.93
541,hanna,51.64,-111.93,57.0,62,94,7.0
542,wanning,48.64,13.53,63.0,82,23,2.24
543,bullhead city,35.15,-114.57,102.2,7,1,8.05
544,karratha,-20.74,116.85,75.03,18,0,26.33
545,lingao,19.91,109.69,86.55,76,92,4.88
